examOrdinal,questionKey,questionTag,maxScore,cognitiveLevel,difficulty,knowledgeCode,knowledgeTitle,chapterCode,inFramework,outsideTopic,outsideTitle,confidence,reviewFlags,contentPreview
1,I-1,TN4,0.25,NB,1,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,OUT_OF_FRAME,Cho hàm số $y=\frac{2x-1}{x+1}$. Giá trị $f'(3)$ bằng
1,I-2,TN4,0.25,NB,1,C2.B6.2,Tổng và hiệu của hai vectơ,C2,true,,,0.96,,Cho hình lập phương ABCD.A'B'C'D' Vecto nào dưới đây bằng $ \overrightarrow{AD} $?
1,I-3,TN4,0.25,NB,1,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,OUT_OF_FRAME,Tập xác định của hàm số $y = (x-1)^{\frac{1}{6}} + \log(4 - x^2)$ là
1,I-4,TN4,0.25,TH,2,,,,false,OUT.THONG_KE_KHAC,Thong ke ngoai khung phan tan,0.63,OUT_OF_FRAME,Khảo sát thời gian tập thể dục của một số học sinh khối 11 thu được mẫu số liệu ghép nhóm sau: <table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-ali...
1,I-5,TN4,0.25,NB,1,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,OUT_OF_FRAME,Cho hàm số $y = -x^3 + 3x^2 + 9x - 1$. Hệ số góc lớn nhất của tiếp tuyến với đồ thị hàm số là
1,I-6,TN4,0.25,NB,1,,,,false,OUT.GIOI_HAN,Gioi han,0.63,OUT_OF_FRAME,Giá trị của giới hạn $ \lim\left(\sqrt[3]{n^3-2n^2}-n\right) $ bằng
1,I-7,TN4,0.25,NB,1,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,OUT_OF_FRAME,"Cho hai hình bình hành ABCD và ABEF không cùng năm trong một mặt phẳng. Gọi $ O_{1}, O_{2} $ lần lượt là tâm của ABCD, ABEF. M là trung điểm của CD. Chọn khẳng định sai trong các ..."
1,I-8,TN4,0.25,NB,1,,,,false,OUT.LUONG_GIAC,Luong giac ngoai nguyen ham/tich phan,0.63,OUT_OF_FRAME,Tập giá trị của hàm số $y = \cot x$ là
1,I-9,TN4,0.25,NB,1,C2.B6.2,Tổng và hiệu của hai vectơ,C2,true,,,0.96,,Cho tứ diện $ ABCD $. Gọi $ G $ là trọng tâm của tam giác $ ABC $. Phát biểu nào sau đây là sai?
1,I-10,TN4,0.25,NB,1,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,OUT_OF_FRAME,"Cho lăng trụ ABCD.A'B'C'D' có hai đáy là các hình bình hành. Các điểm M, N, P lần lượt là trung điểm của cạnh AD, BC, CC' (tham khảo hình vẽ). Xét các khẳng định sau: a) Mặt phẳng..."
1,I-11,TN4,0.25,NB,1,,,,false,OUT.CAP_SO,Cap so cong - cap so nhan,0.63,OUT_OF_FRAME,Tìm số hàng tổng quát của cấp số nhân lùi vô hạn khi có tổng bằng 3 và công bội bằng $ \frac{2}{3} $
1,I-12,TN4,0.25,NB,1,C1.B4.2,Hàm đa thức bậc ba,C1,true,,,0.96,,Cho hàm số đa thức bậc ba $y=ax^{3}+bx^{2}+cx+d$ ($a\neq0$) có đồ thị như hình vẽ. Hàm số đã cho nghịch biến trên khoảng nào dưới đây?
1,II-1,DS,1,VD,3,,,,false,OUT.GIOI_HAN,Gioi han,0.63,OUT_OF_FRAME,Cho hàm số $y = f(x)$ có đạo hàm trên $\mathbb{R}$ và $f'(x)$ là hàm số bậc ba có đồ thị là đường con trong hình vẽ.
1,II-2,DS,1,VD,3,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,OUT_OF_FRAME,"Cho hình chóp tứ giác đều S.ABCD có cạnh đáy bằng a, cạnh bên bằng $ \sqrt{2}a $. Gọi F là trung điểm của cạnh SA."
1,II-3,DS,1,VD,3,,,,false,OUT.TO_HOP_XAC_SUAT_CO_BAN,To hop / xac suat co ban,0.63,OUT_OF_FRAME,Trong hợp có 45 quả cầu có cùng kích thước và khối lượng được đánh số từ 1 đến 45. Lấy ngẫu nhiên 3 quả cầu từ hợp đó. Xét tính đúng sai của các mệnh đề sau:
1,II-4,DS,1,TH,2,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,OUT_OF_FRAME,Cho hàm số $y = (9 - x^2)^{\frac{1}{3}} + \ln(1 - x)$
1,III-1,TLN,0.5,VD,3,C2.B6.4,Tích vô hướng; góc giữa hai vectơ,C2,true,,,0.68,,"Cho hai vectơ ă, bọ sao cho |ă| = √2, |b| = 2 và hai vectơ ă = ă + ă, ă = 2 ă - ă vuông góc với nhau. Tính góc giữa hai véc tơ ă và ă (đơn vị độ)."
1,III-2,TLN,0.5,VDC,4,C1.B1.2,"Cực trị: khái niệm, cách tìm cực trị",C1,true,,,0.96,,Tính tổng tất cả các giá trị nguyên của tham số m để hàm số $ y=\frac{x^{2}+(m-1)x+3-2m}{x+m} $ đạt cực tiểu tại x=-1.
1,III-3,TLN,0.5,VD,3,,,,false,OUT.LUONG_GIAC,Luong giac ngoai nguyen ham/tich phan,0.63,OUT_OF_FRAME,"Một chiếc ô tô được đặt trên mặt đáy dưới của một khung sắt dạng hình hộp chữ nhật với đáy trên là hình chữ nhật ABCD, mặt phẳng (ABCD) song song với mặt phẳng nằm ngang. Khung sắ..."
1,III-4,TLN,0.5,VDC,4,,,,false,OUT.LUONG_GIAC,Luong giac ngoai nguyen ham/tich phan,0.63,OUT_OF_FRAME,"Cho hình tứ diện ABCD có tất cả các cạnh bằng 6. Gọi M, N lần lượt là trung điểm của CA, CB. P là điểm trên cạnh BD sao cho BP=2PD. Gọi (H) là hình giới hạn bởi giao tuyến của mặt..."
1,III-5,TLN,0.5,VDC,4,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,OUT_OF_FRAME,Một người đàn ông muốn chèo thuyền ở vị trí A tới điểm B về phía hạ lưu bờ đối diện trên một bờ sông thắng rộng 3 km (như hình vẽ). Anh chèo thuyền đến một điểm D giữa C và B và s...
1,III-6,TLN,0.5,VD,3,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,OUT_OF_FRAME,Cho hình lăng trụ ABC.A'B'C' có đáy là tam giác đều cạnh 2. Hình chiếu vuông góc của A' lên mặt phẳng (ABC) trùng với trọng tâm tam giác ABC. Biết khoảng cách giữa hai đường thẳng...
2,I-1,TN4,0.25,NB,1,C1.B4.3,"Hàm phân thức hữu tỉ (bậc nhất/bậc nhất, bậc hai/bậc nhất)",C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Đồ thị dưới đây là của hàm số nào?
2,I-2,TN4,0.25,NB,1,C1.B2.2,Tìm GTLN–GTNN trên một đoạn / khoảng / tập xác định,C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,Cho hàm số $y = f(x)$ liên tục trên đoạn $[-1;3]$ và có đồ thị như hình vẽ. Gọi $M$ và $m$ lần lượt là giá trị lớn nhất và nhỏ nhất của hàm số đã cho trên $[-1;3]$. Tính giá trị $...
2,I-3,TN4,0.25,NB,1,C1.B3.3,Tiệm cận xiên,C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW,"Cho đồ thị hàm số $y = \frac{2x^2 + x - 5}{x + 3}$ có đường tiệm cận xiên là đường thẳng $\Delta: y = ax + b$ với $a, b \in \mathbb{R}, a \neq 0$. Giá trị của tổng $a + b$ bằng"
2,I-4,TN4,0.25,NB,1,,,,false,OUT.HINH_HOC_KHONG_GIAN_CO_DIEN,Hinh hoc khong gian co dien,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,Cho hình chóp S.ABCD có đấy ABCD là hình thoi và SB vuông góc với mặt phẳng (ABCD). Mặt phẳng nào sau đây vuông góc với mặt phẳng (SBD)?
2,I-5,TN4,0.25,NB,1,,,,false,OUT.DAO_HAM_CO_BAN,Dao ham co ban / tiep tuyen,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Cho hàm số y = f x xác định, có đạo hàm trên Ủ và f' x có đồ thị như hình vẽ sau đây Mệnh đề nào sau đây đúng?"
2,I-6,TN4,0.25,NB,1,,,,false,OUT.MU_LOGARIT,Ham mu - logarit / tap xac dinh log,0.63,QUESTION_MC_ANSWER_NEEDS_REVIEW;OUT_OF_FRAME,"Giả sử nhiệt độ của một loại đồ uống được xác định theo công thức: $ T = 22 + 50e^{-\frac{1}{8}t} $, $ t \geq 0 $ trong đó $ t $ (phút) là khoảng thời gian tính từ lúc pha chế đồ ..."
2,I-7,TN4,0.25,NB,1,C1.B1.1,"Tính đơn điệu (đồng biến, nghịch biến); xét dấu đạo hàm; bảng biến thiên",C1,true,,,0.96,QUESTION_MC_ANSWER_NEEDS_REVIEW;QUESTION_OPTIONS_PARSED_3,Cho hàm số $y = f(x)$ có đồ thị là đường cong trong hình bên. Hàm số đã cho đồng biến trên khoảng nào dưới đây?
